Title,Jurisdictions,Document type,Document file
West Virginia v. EPA,US,status report,https://climatecasechart.com/wp-content/uploads/case-documents/2017/20170530_docket-15-1363_status-report-1.pdf
West Virginia v. EPA,US,brief,https://climatecasechart.com/wp-content/uploads/case-documents/2017/20170515_docket-15-1363_brief-3.pdf
West Virginia v. EPA,US,brief,https://climatecasechart.com/wp-content/uploads/case-documents/2017/20170515_docket-15-1363_brief-4.pdf
West Virginia v. EPA,US,brief,https://climatecasechart.com/wp-content/uploads/case-documents/2017/20170515_docket-15-1363_brief-5.pdf
West Virginia v. EPA,US,response,https://climatecasechart.com/wp-content/uploads/case-documents/2017/20170406_docket-15-1363_response.pdf
West Virginia v. EPA,US,brief,https://climatecasechart.com/wp-content/uploads/case-documents/2017/20170515_docket-15-1363_brief-1.pdf
West Virginia v. EPA,US,order,https://climatecasechart.com/wp-content/uploads/case-documents/2017/20170428_docket-15-1363_order.pdf
West Virginia v. EPA,US,reply,https://climatecasechart.com/wp-content/uploads/case-documents/2017/20170412_docket-15-1363_reply.pdf
West Virginia v. EPA,US,opposition,https://climatecasechart.com/wp-content/uploads/case-documents/2017/20170405_docket-15-1363_opposition.pdf
West Virginia v. EPA,US,opposition,https://climatecasechart.com/wp-content/uploads/case-documents/2017/20170313_docket-15-1363_opposition.pdf
West Virginia v. EPA,US,response,https://climatecasechart.com/wp-content/uploads/case-documents/2017/20170313_docket-15-1363_response.pdf
West Virginia v. EPA,US,motion,https://climatecasechart.com/wp-content/uploads/case-documents/2017/20170301_docket-15-1363_motion.pdf
West Virginia v. EPA,US,opposition,https://climatecasechart.com/wp-content/uploads/case-documents/2017/20170302_docket-15-1363_opposition.pdf
West Virginia v. EPA,US,motion,https://climatecasechart.com/wp-content/uploads/case-documents/2017/20170224_docket-15-1363_motion.pdf
West Virginia v. EPA,US,notice,https://climatecasechart.com/wp-content/uploads/case-documents/2017/20170328_docket-15-1363_notice.pdf
West Virginia v. EPA,US,motion,https://climatecasechart.com/wp-content/uploads/case-documents/2017/20170223_docket-15-1363_motion.pdf
West Virginia v. EPA,US,order,https://climatecasechart.com/wp-content/uploads/case-documents/2015/20151029_docket-15-1363_order-2.pdf
West Virginia v. EPA,US,petition for review,https://climatecasechart.com/wp-content/uploads/case-documents/2015/20151023_docket-15-1363_petition-for-review.pdf
West Virginia v. EPA,US,motion to intervene,https://climatecasechart.com/wp-content/uploads/case-documents/2015/20151029_docket-15-1363_motion-to-intervene.pdf
West Virginia v. EPA,US,order,https://climatecasechart.com/wp-content/uploads/case-documents/2015/20151029_docket-15-1363_order.pdf
West Virginia v. EPA,US,motion,https://climatecasechart.com/wp-content/uploads/case-documents/2015/20151029_docket-15-1363_motion.pdf
West Virginia v. EPA,US,motion,https://climatecasechart.com/wp-content/uploads/case-documents/2015/20151023_docket-15-1363_motion-6.pdf
West Virginia v. EPA,US,motion,https://climatecasechart.com/wp-content/uploads/case-documents/2015/20151028_docket-15-1363_motion-1.pdf
West Virginia v. EPA,US,motion to intervene,https://climatecasechart.com/wp-content/uploads/case-documents/2015/20151026_docket-15-1363_motion-to-intervene-1.pdf
West Virginia v. EPA,US,motion to intervene,https://climatecasechart.com/wp-content/uploads/case-documents/2015/20151027_docket-15-1363_motion-to-intervene-1.pdf
West Virginia v. EPA,US,motion to intervene,https://climatecasechart.com/wp-content/uploads/case-documents/2015/20151027_docket-15-1363_motion-to-intervene-2.pdf
West Virginia v. EPA,US,motion,https://climatecasechart.com/wp-content/uploads/case-documents/2015/20151023_docket-15-1363_motion-7.pdf
West Virginia v. EPA,US,motion,https://climatecasechart.com/wp-content/uploads/case-documents/2015/20151023_docket-15-1363_motion-5.pdf
West Virginia v. EPA,US,motion,https://climatecasechart.com/wp-content/uploads/case-documents/2015/20151023_docket-15-1363_motion-1.pdf
West Virginia v. EPA,US,motion,https://climatecasechart.com/wp-content/uploads/case-documents/2015/20151028_docket-15-1363_motion.pdf
West Virginia v. EPA,US,motion,https://climatecasechart.com/wp-content/uploads/case-documents/2015/20151023_docket-15-1363_motion.pdf
West Virginia v. EPA,US,motion,https://climatecasechart.com/wp-content/uploads/case-documents/2015/20151023_docket-15-1363_motion-2.pdf
West Virginia v. EPA,US,motion,https://climatecasechart.com/wp-content/uploads/case-documents/2015/20151023_docket-15-1363_motion-3.pdf
West Virginia v. EPA,US,na,https://climatecasechart.com/wp-content/uploads/case-documents/2015/20151029_docket-15-1363_na.pdf
West Virginia v. EPA,US,order,https://climatecasechart.com/wp-content/uploads/case-documents/2015/20151130_docket-15-1363_order.pdf
West Virginia v. EPA,US,motion to intervene,https://climatecasechart.com/wp-content/uploads/case-documents/2015/20151124_docket-15-1363_motion-to-intervene.pdf
West Virginia v. EPA,US,amicus motion,https://climatecasechart.com/wp-content/uploads/case-documents/2015/20151203_docket-15-1363_amicus-motion-1.pdf
West Virginia v. EPA,US,motion to intervene,https://climatecasechart.com/wp-content/uploads/case-documents/2015/20151120_docket-15-1363_motion-to-intervene.pdf
West Virginia v. EPA,US,motion,https://climatecasechart.com/wp-content/uploads/case-documents/2015/20151106_docket-15-1363_motion.pdf
West Virginia v. EPA,US,motion to intervene,https://climatecasechart.com/wp-content/uploads/case-documents/2015/20151104_docket-15-1363_motion-to-intervene.pdf
West Virginia v. EPA,US,motion,https://climatecasechart.com/wp-content/uploads/case-documents/2015/20151105_docket-15-1363_motion-1.pdf
West Virginia v. EPA,US,motion to intervene,https://climatecasechart.com/wp-content/uploads/case-documents/2015/20151105_docket-15-1363_motion-to-intervene-2.pdf
West Virginia v. EPA,US,response,https://climatecasechart.com/wp-content/uploads/case-documents/2015/20151111_docket-15-1363_response.pdf
West Virginia v. EPA,US,motion to intervene,https://climatecasechart.com/wp-content/uploads/case-documents/2015/20151105_docket-15-1363_motion-to-intervene-1.pdf
West Virginia v. EPA,US,motion,https://climatecasechart.com/wp-content/uploads/case-documents/2015/20151105_docket-15-1363_motion.pdf
West Virginia v. EPA,US,na,https://climatecasechart.com/wp-content/uploads/case-documents/2015/20151102_docket-15-1363_na.pdf
West Virginia v. EPA,US,order,https://climatecasechart.com/wp-content/uploads/case-documents/2016/20160121_docket-15-1363_order.pdf
West Virginia v. EPA,US,amicus motion,https://climatecasechart.com/wp-content/uploads/case-documents/2016/20160111_docket-15-1363_amicus-motion.pdf
West Virginia v. EPA,US,amicus motion,https://climatecasechart.com/wp-content/uploads/case-documents/2016/20160115_docket-15-1363_amicus-motion-1.pdf
West Virginia v. EPA,US,na,https://climatecasechart.com/wp-content/uploads/case-documents/2015/20151208_docket-15-1363_na.pdf
West Virginia v. EPA,US,motion,https://climatecasechart.com/wp-content/uploads/case-documents/2015/20151208_docket-15-1363_motion.pdf
West Virginia v. EPA,US,response,https://climatecasechart.com/wp-content/uploads/case-documents/2015/20151208_docket-15-1363_response.pdf
West Virginia v. EPA,US,response,https://climatecasechart.com/wp-content/uploads/case-documents/2015/20151208_docket-15-1363_response-4.pdf
West Virginia v. EPA,US,motion to intervene,https://climatecasechart.com/wp-content/uploads/case-documents/2015/20151207_docket-15-1363_motion-to-intervene-1.pdf
West Virginia v. EPA,US,response,https://climatecasechart.com/wp-content/uploads/case-documents/2015/20151208_docket-15-1363_response-3.pdf
West Virginia v. EPA,US,response,https://climatecasechart.com/wp-content/uploads/case-documents/2015/20151208_docket-15-1363_response-1.pdf
West Virginia v. EPA,US,response,https://climatecasechart.com/wp-content/uploads/case-documents/2015/20151221_docket-15-1363_response.pdf
West Virginia v. EPA,US,response,https://climatecasechart.com/wp-content/uploads/case-documents/2015/20151203_docket-15-1363_response.pdf
West Virginia v. EPA,US,amicus motion,https://climatecasechart.com/wp-content/uploads/case-documents/2015/20151217_docket-15-1363_amicus-motion-1.pdf
West Virginia v. EPA,US,na,https://climatecasechart.com/wp-content/uploads/case-documents/2015/20151231_docket-15-1363_na.pdf
West Virginia v. EPA,US,na,https://climatecasechart.com/wp-content/uploads/case-documents/2015/20151223_docket-15-1363_na.pdf
